WordLength,Case,SF,L,M,SymbolsMatch,MatlabSymbols,FixedSymbols,ConfidenceAbsError,WorstRelativeRms,WorstMaxAbsError,DecisionMargin,InputType,ReferenceType,ProductType,AccumulatorType,FftNType,MagnitudeType,FftMOutputWordLength,FftNOutputWordLength
12,sf7-l8-combined,7,8,1024,1,[31 95],[31 95],0.0515108292497254,0.0249677682205663,2987.10461190937,0.821454283657307,sfix12_En6,sfix12_En3,sfix12_En-5,sfix12_En-5,sfix12_En0,ufix12_En-9,22,19
12,sf9-l2-clean,9,2,1024,1,300,300,0.0138443488649752,0.0227092443634108,473.008786051224,1,sfix12_En8,sfix12_En4,sfix12_En-3,sfix12_En-3,sfix12_En0,ufix12_En-9,22,21
12,sf9-l2-combined,9,2,1024,1,2,2,0.0766646643009722,0.0189027238884411,2708.23240804172,0.285880980163361,sfix12_En8,sfix12_En4,sfix12_En-3,sfix12_En-3,sfix12_En0,ufix12_En-9,22,21
12,sf10-l1-clean,10,1,1024,1,1000,1000,0,0.0364350744261271,2048,1,sfix12_En10,sfix12_En4,sfix12_En-1,sfix12_En-1,sfix12_En0,ufix12_En-9,22,22
12,sf12-l1-clean,12,1,4096,1,4095,4095,0,0.0733397787324914,32768,1,sfix12_En10,sfix12_En3,sfix12_En-3,sfix12_En-3,sfix12_En-2,ufix12_En-13,24,24
14,sf5-l4-awgn,5,4,128,1,30,30,0.00166613900857465,0.00319767304017119,21.9729805797797,0.846136865342163,sfix14_En9,sfix14_En7,sfix14_En1,sfix14_En1,sfix14_En4,ufix14_En-2,21,19
14,sf5-l8-clean,5,8,256,1,[17 3],[17 3],0.00185776310239016,0.00339585105767245,160,0.991715399610136,sfix14_En12,sfix14_En6,sfix14_En0,sfix14_En0,sfix14_En4,ufix14_En-3,22,19
14,sf7-l1-clean,7,1,128,1,[0 45 127],[0 45 127],0,0.00316128330070912,8.00000000000728,1,sfix14_En12,sfix14_En8,sfix14_En4,sfix14_En4,sfix14_En5,ufix14_En-1,21,21
14,sf7-l2-clean,7,2,256,1,[13 100],[13 100],0.00786114525874493,0.0027873003646788,32,0.99829018075232,sfix14_En12,sfix14_En7,sfix14_En2,sfix14_En2,sfix14_En4,ufix14_En-3,22,21
14,sf7-l4-clean,7,4,512,1,63,63,0.00866282837736121,0.00309690977514433,36.4464171993484,0.9981689453125,sfix14_En12,sfix14_En6,sfix14_En0,sfix14_En0,sfix14_En3,ufix14_En-5,23,21
14,sf7-l8-clean,7,8,1024,1,1,1,0.0132672429117773,0.00765355876534999,5632,0.998057309373482,sfix14_En8,sfix14_En5,sfix14_En-3,sfix14_En-3,sfix14_En2,ufix14_En-7,24,21
14,sf7-l8-awgn-p00,7,8,1024,1,77,77,0.0278140691127887,0.00711020664796927,549.806322006742,0.995163548428153,sfix14_En8,sfix14_En5,sfix14_En-3,sfix14_En-3,sfix14_En2,ufix14_En-7,24,21
14,sf7-l8-awgn-m10,7,8,1024,1,77,77,0.00699093371429987,0.00505942659697685,1396.01742960736,0.931851851851852,sfix14_En8,sfix14_En5,sfix14_En-3,sfix14_En-3,sfix14_En2,ufix14_En-7,24,21
14,sf7-l8-cfo,7,8,1024,1,34,34,0.00947100161433134,0.00927586383384461,506.471506843402,0.236046828205826,sfix14_En8,sfix14_En5,sfix14_En-3,sfix14_En-3,sfix14_En2,ufix14_En-7,24,21
14,sf7-l8-timing,7,8,1024,1,32,32,0.0115654440045876,0.00969617239352881,339.471874620649,0.757720979765708,sfix14_En8,sfix14_En5,sfix14_En-3,sfix14_En-3,sfix14_En2,ufix14_En-7,24,21
14,sf7-l8-combined,7,8,1024,1,[31 95],[31 95],0.0130440578239527,0.00623710682080591,1067.10461190937,0.821865994236311,sfix14_En8,sfix14_En5,sfix14_En-3,sfix14_En-3,sfix14_En2,ufix14_En-7,24,21
