SNR_dB,BER,SER,BitErrors,SymbolErrors,Bits,Symbols,BER_Lower95,BER_Upper95,SER_Lower95,SER_Upper95,SpreadingFactor,SamplesPerChip,DemodulationMode,EsN0_dB,EbN0_dB
-16,0.3545,0.70375,9926,2815,28000,4000,0.348917247308523,0.360122670947637,0.68940995091508,0.717699075944367,7,8,single-phase,14.1029995663981,5.65201916625555
-14,0.234642857142857,0.46325,6570,1853,28000,4000,0.229715772922373,0.239642742699441,0.447839668664124,0.478730850417669,7,8,single-phase,16.1029995663981,7.65201916625555
-12,0.101178571428571,0.2,2833,800,28000,4000,0.0977008600172803,0.104765700406515,0.187894537453414,0.212681128520407,7,8,single-phase,18.1029995663981,9.65201916625555
-10,0.0156785714285714,0.03325,439,133,28000,4000,0.0142884994207814,0.0172015181226128,0.0281263474819062,0.0392692928290301,7,8,single-phase,20.1029995663981,11.6520191662556
-8,0.000857142857142857,0.002,24,8,28000,4000,0.00057608942421206,0.00127513726898738,0.00101378626859103,0.00394181924795165,7,8,single-phase,22.1029995663981,13.6520191662556
-6,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,8,single-phase,24.1029995663981,15.6520191662556
-4,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,8,single-phase,26.1029995663981,17.6520191662556
-20,0.346392857142857,0.70475,9699,2819,28000,4000,0.340840977063218,0.351986879691752,0.690422839489852,0.718684268483015,7,8,polyphase,10.1029995663981,1.65201916625555
-18,0.217642857142857,0.44525,6094,1781,28000,4000,0.212848465470868,0.222514714139638,0.429908128247253,0.460696930792969,7,8,polyphase,12.1029995663981,3.65201916625555
-16,0.0808214285714286,0.17975,2263,719,28000,4000,0.0776861208968027,0.0840717388411825,0.168159586796595,0.191954936630458,7,8,polyphase,14.1029995663981,5.65201916625555
-14,0.0161071428571429,0.0475,451,190,28000,4000,0.0146976038045364,0.0176494390164538,0.0413313231703252,0.0545369730068547,7,8,polyphase,16.1029995663981,7.65201916625555
-12,0.00346428571428571,0.01175,97,47,28000,4000,0.00284087097635501,0.0042239261555534,0.00884792312057878,0.0155889732518147,7,8,polyphase,18.1029995663981,9.65201916625555
-10,0.000357142857142857,0.00175,10,7,28000,4000,0.000194010645874615,0.000657353223462836,0.000847965734433743,0.00360811950375379,7,8,polyphase,20.1029995663981,11.6520191662556
-8,7.14285714285714e-05,0.0005,2,2,28000,4000,1.95885092009692e-05,0.000260425175072486,0.000137128744953468,0.00182135510145831,7,8,polyphase,22.1029995663981,13.6520191662556
-6,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,8,polyphase,24.1029995663981,15.6520191662556
-4,0,0,0,0,28000,4000,0,0.000137176138007456,0,0.000959443289701483,7,8,polyphase,26.1029995663981,17.6520191662556
