waveform,harmonic_coefficients,doppler_hz,up_delay_samples,down_delay_samples,paired_timing_delay_samples,paired_timing_bias_m,doppler_displacement_samples,mean_normalized_peak
sidelobe_focused,-0.08;0.01,-400.0,3.53138604409628,-3.53138604409628,0.0,0.0,3.53138604409628,0.9907893045331543
sidelobe_focused,-0.08;0.01,-375.0,3.305729975662871,-3.305729975662757,5.684341886080802e-14,1.7041228261405195e-11,3.305729975662814,0.9938354357086293
sidelobe_focused,-0.08;0.01,-350.0,3.086157339466581,-3.086157339466695,-5.684341886080802e-14,-1.7041228261405195e-11,3.086157339466638,0.9960437710014596
sidelobe_focused,-0.08;0.01,-325.0,2.8676282276608163,-2.8676282276608163,0.0,0.0,2.8676282276608163,0.996117631135736
sidelobe_focused,-0.08;0.01,-300.0,2.6455135141459323,-2.645513514146046,-5.684341886080802e-14,-1.7041228261405195e-11,2.645513514145989,0.9940596801988215
sidelobe_focused,-0.08;0.01,-275.0,2.417576161780289,-2.417576161780289,0.0,0.0,2.417576161780289,0.9933535664002486
sidelobe_focused,-0.08;0.01,-250.0,2.195678697016092,-2.195678697016092,0.0,0.0,2.195678697016092,0.9966083385535214
sidelobe_focused,-0.08;0.01,-225.0,1.9772898757146322,-1.9772898757146322,0.0,0.0,1.9772898757146322,0.9977237256896841
sidelobe_focused,-0.08;0.01,-200.0,1.757771703225444,-1.757771703225444,0.0,0.0,1.757771703225444,0.9966973969548931
sidelobe_focused,-0.08;0.01,-175.0,1.5324050016358797,-1.5324050016358797,0.0,0.0,1.5324050016358797,0.993535296151943
sidelobe_focused,-0.08;0.01,-150.0,1.3066206173084538,-1.3066206173083401,5.684341886080802e-14,1.7041228261405195e-11,1.306620617308397,0.996495779095588
sidelobe_focused,-0.08;0.01,-125.0,1.0870720234131568,-1.087072023413043,5.684341886080802e-14,1.7041228261405195e-11,1.0870720234131,0.9986636658072623
sidelobe_focused,-0.08;0.01,-100.0,0.8688474186833446,-0.8688474186833446,0.0,0.0,0.8688474186833446,0.9986833517558211
sidelobe_focused,-0.08;0.01,-86.8600903895988,0.7531204323014435,-0.7531204323014435,0.0,0.0,0.7531204323014435,0.9978324109515825
sidelobe_focused,-0.08;0.01,-75.0,0.6473085250772783,-0.6473085250772783,0.0,0.0,0.6473085250772783,0.9965557570083245
sidelobe_focused,-0.08;0.01,-50.0,0.4226289467261495,-0.4226289467261495,0.0,0.0,0.4226289467261495,0.995693482950853
sidelobe_focused,-0.08;0.01,-25.0,0.20910530210653633,-0.20910530210653633,0.0,0.0,0.20910530210653633,0.9989223256239563
sidelobe_focused,-0.08;0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.0
sidelobe_focused,-0.08;0.01,25.0,-0.20910530210653633,0.20910530210653633,0.0,0.0,-0.20910530210653633,0.9989223256239563
sidelobe_focused,-0.08;0.01,50.0,-0.4226289467261495,0.4226289467261495,0.0,0.0,-0.4226289467261495,0.995693482950853
sidelobe_focused,-0.08;0.01,75.0,-0.6473085250772783,0.6473085250772783,0.0,0.0,-0.6473085250772783,0.9965557570083245
sidelobe_focused,-0.08;0.01,86.8600903895988,-0.7531204323014435,0.7531204323014435,0.0,0.0,-0.7531204323014435,0.9978324109515824
sidelobe_focused,-0.08;0.01,100.0,-0.8688474186833446,0.8688474186833446,0.0,0.0,-0.8688474186833446,0.9986833517558211
sidelobe_focused,-0.08;0.01,125.0,-1.087072023413043,1.0870720234131568,5.684341886080802e-14,1.7041228261405195e-11,-1.0870720234131,0.9986636658072623
sidelobe_focused,-0.08;0.01,150.0,-1.3066206173083401,1.3066206173084538,5.684341886080802e-14,1.7041228261405195e-11,-1.306620617308397,0.9964957790955878
sidelobe_focused,-0.08;0.01,175.0,-1.5324050016358797,1.5324050016358797,0.0,0.0,-1.5324050016358797,0.993535296151943
sidelobe_focused,-0.08;0.01,200.0,-1.757771703225444,1.757771703225444,0.0,0.0,-1.757771703225444,0.9966973969548931
sidelobe_focused,-0.08;0.01,225.0,-1.9772898757146322,1.9772898757146322,0.0,0.0,-1.9772898757146322,0.9977237256896841
sidelobe_focused,-0.08;0.01,250.0,-2.195678697016092,2.195678697016092,0.0,0.0,-2.195678697016092,0.9966083385535214
sidelobe_focused,-0.08;0.01,275.0,-2.417576161780289,2.417576161780289,0.0,0.0,-2.417576161780289,0.9933535664002485
sidelobe_focused,-0.08;0.01,300.0,-2.645513514146046,2.6455135141459323,-5.684341886080802e-14,-1.7041228261405195e-11,-2.645513514145989,0.9940596801988216
sidelobe_focused,-0.08;0.01,325.0,-2.8676282276608163,2.8676282276608163,0.0,0.0,-2.8676282276608163,0.996117631135736
sidelobe_focused,-0.08;0.01,350.0,-3.086157339466695,3.086157339466581,-5.684341886080802e-14,-1.7041228261405195e-11,-3.086157339466638,0.9960437710014596
sidelobe_focused,-0.08;0.01,375.0,-3.305729975662757,3.305729975662871,5.684341886080802e-14,1.7041228261405195e-11,-3.305729975662814,0.9938354357086293
sidelobe_focused,-0.08;0.01,400.0,-3.53138604409628,3.53138604409628,0.0,0.0,-3.53138604409628,0.9907893045331543
sidelobe_focused,-0.08;0.01,425.0,-3.757425334749769,3.757425334749769,0.0,0.0,-3.757425334749769,0.9938621876917757
sidelobe_focused,-0.08;0.01,450.0,-3.9773693829499734,3.9773693829499734,0.0,0.0,-3.9773693829499734,0.9948164781069065
sidelobe_focused,-0.08;0.01,475.0,-4.195935354556582,4.1959353545566955,5.684341886080802e-14,1.7041228261405195e-11,-4.195935354556639,0.9936446013748095
sidelobe_focused,-0.08;0.01,500.0,-4.4177440412785245,4.417744041278411,-5.684341886080802e-14,-1.7041228261405195e-11,-4.417744041278468,0.9903471628586606
