first_harmonic,second_harmonic,on_pareto_front,representative,delay_variance_ratio_to_lfm,delay_std_ratio_to_lfm,rms_bandwidth_hz,mainlobe_width_samples,peak_sidelobe_db,peak_sidelobe_amplitude_ratio_to_lfm,integrated_sidelobe_db,integrated_sidelobe_energy_ratio_to_lfm,doppler_coupling_samples_per_hz,doppler_coupling_ratio_to_lfm,doppler_fit_residual_rms_samples
-0.04,0.05,False,,1.1333304202653365,1.064579926668419,33928.54477772519,18,-12.435080745094165,1.1284118893673414,-9.875011947254048,0.9731391208300032,0.008565416809117602,1.0636515970366078,0.003976401776052094
-0.04,0.06000000000000001,False,,1.1435378489238905,1.0693632913672932,33776.779138597594,18,-11.802161684079893,1.2137063005650068,-8.987479585684166,1.1937906359727424,0.008598763174486787,1.0677925414378826,0.004127891435940418
-0.04,0.06999999999999999,False,,1.153532655979864,1.0740263758306237,33630.13099515631,18,-11.226453842579033,1.2968776282136771,-8.040864717642046,1.484532311998286,0.008629738545749135,1.071639056306479,0.004278659434758652
-0.04,0.08,False,,1.1632987854997168,1.0785632969370489,33488.66757659101,18,-10.700877134524479,1.3777735209939577,-7.059204509902451,1.8610398623908293,0.008658253153433389,1.075179994088975,0.004428712965803493
-0.03,-0.08,False,,0.9709115892928376,0.9853484608466375,36656.72515528354,18,-10.11116485616138,1.4745633922724386,-5.848849392128914,2.4591849218224677,0.00789261269147656,0.9801029279911113,0.001717442356645851
-0.03,-0.07,False,,0.9821299077632567,0.9910246756581073,36446.76928700183,18,-10.741252754800731,1.3713839200621305,-6.700001522629756,2.021510373544257,0.007946430720498497,0.9867860391337717,0.0018545615722770784
-0.03,-0.06,False,,0.9933152747053602,0.9966520329108651,36240.981324188186,18,-11.464354230202954,1.2618390958972325,-7.533678475981622,1.6684311090030555,0.007999136730785427,0.9933310600316978,0.0019966465620143183
-0.03,-0.05,False,,1.0044564695405478,1.0022257577714453,36039.432664106236,18,-12.297729129611445,1.1463975102016153,-8.345228244841435,1.3840548517491738,0.008050639840592457,0.9997267050095681,0.0021430011133396873
-0.03,-0.04,False,,1.0155418364190596,1.0077409570018774,35842.19482246325,18,-13.265252338443098,1.0255552772413203,-9.122513728582561,1.1572435095368174,0.00810084712491258,1.0059614346602168,0.0022929060615441005
-0.03,-0.03,False,,1.0265592950636857,1.0131926248565402,35649.33935099567,18,-14.401188496089357,0.899833724429739,-9.843287932943124,0.9802736599551022,0.008149663812054177,1.012023480255584,0.0024456216961929607
-0.03,-0.020000000000000004,True,,1.0374963543328724,1.0185756497839875,35460.937750766825,18,-15.645151098056926,0.7797657144270682,-10.47324015884797,0.8479145948235631,0.008196993503463701,1.0179008710442496,0.0026003905200907692
-0.03,-0.009999999999999995,True,,1.0483401286307847,1.0238848219554701,35277.06138123389,18,-16.037617878156208,0.74531660449285,-10.966803362904425,0.7568255588690791,0.008242738417052429,1.0235814644676962,0.0027564403637825013
-0.03,0.0,True,,1.05907735727819,1.0291148416373121,35097.78136516896,18,-15.217232025972567,0.8191436884725399,-11.273718684935137,0.7051869358691273,0.008286799654129099,1.0290529793079457,0.0029129878556636516
-0.03,0.009999999999999995,False,,1.0696944269416886,1.0342603284191503,34923.16848954763,18,-14.478589270304001,0.8918508429531459,-11.352529691088662,0.6925053891049137,0.008329077489776182,1.0343030317464217,0.0030692422424860705
-0.03,0.020000000000000004,False,,1.0801773971996462,1.039315831304251,34753.29310254982,16,-13.808984440570566,0.963324195867369,-11.134929262164114,0.7280868718335973,0.008369471686278093,1.0393191742853969,0.0032244095494563217
-0.03,0.03,False,,1.0905120293012576,1.0442758396617522,34588.225006849,16,-13.19862732071607,1.0334520346126206,-10.738683174190944,0.7976416241643424,0.008407881828938112,1.0440889374496651,0.0033776970642160186
-0.03,0.039999999999999994,False,,1.1006838181504763,1.0491347950337346,34428.03334939953,16,-12.615304649680489,1.1052396538516187,-10.153218791655538,0.9127550561802383,0.008444207683329008,1.0485998741498461,0.003528318123708779
-0.03,0.05,False,,1.1106780275191281,1.0538871037825295,34272.78650796563,16,-11.938111505150541,1.1948575039915292,-9.426589007866358,1.0789895182045524,0.008478349572735844,1.0528396065531511,0.0036754971747596267
-0.03,0.06000000000000001,False,,1.1204797284635768,1.0585271505557035,34122.551974670496,16,-11.323763625216598,1.2824295288193726,-8.602752391452443,1.3043702575884546,0.008510208774216347,1.056795875266073,0.0038184750764603762
-0.03,0.06999999999999999,False,,1.1300738408869944,1.0630493125377554,33977.39623687873,16,-10.764017422912923,1.3677943942835038,-7.714935227680236,1.600230721408701,0.008539687931418793,1.0604565905980226,0.003956514602010806
-0.03,0.08,False,,1.1394451781548613,1.0674479744488072,33837.384655760645,16,-10.252310496022151,1.450795386454231,-6.784763446430578,1.9824387673616495,0.008566691481945646,1.063809885631251,0.004088906095274676
-0.020000000000000004,-0.08,False,,0.9539665865153693,0.9767121308325034,36980.85297727404,16,-10.198955984016983,1.4597345638649961,-5.894516918039678,2.4334612485683733,0.00782795144194785,0.9720733080834864,0.0015560650817920845
-0.020000000000000004,-0.07,False,,0.9647945592238266,0.9822395630516145,36772.747779798854,16,-10.816659236431924,1.3595297917080131,-6.684810793664109,2.0285935822093015,0.007880012698291222,0.9785382635768858,0.001683120751076308
-0.020000000000000004,-0.06,False,,0.9755863808974031,0.987717763785487,36568.794280874485,16,-11.524776741880174,1.2530917004688655,-7.453906362736372,1.6993603865453462,0.007930962421229577,0.9848651890937231,0.0018150807150786653
-0.020000000000000004,-0.05,False,,0.9863312732097702,0.9931421213551312,36369.06232730518,16,-12.339663247471265,1.1408762208510919,-8.195564032787313,1.4325827692803461,0.00798071319791501,0.9910432297255513,0.0019512764804765427
-0.020000000000000004,-0.04,False,,0.9970180553950553,0.9985079145380147,36173.62184670167,16,-13.283812535167156,1.0233661882368417,-8.896679336145382,1.2190125953125426,0.00802917576482038,0.9970613007469779,0.00209101878200056
-0.020000000000000004,-0.03,False,,1.0076351553067708,1.0038103183902678,35982.54276700314,16,-14.389271943817427,0.901069092946266,-9.5356091631902,1.0522409767328005,0.008076259199424361,1.0029081114190732,0.0022335999343447185
-0.020000000000000004,-0.020000000000000004,True,,1.018170623009008,1.0090444108209549,35795.894931968396,16,-15.610977698567957,0.7828396348997918,-10.081473240075848,0.9279590306245653,0.008121871133377557,1.008572191460292,0.0023782965099897503
-0.020000000000000004,-0.009999999999999995,True,,1.0286121470102052,1.0142051799365872,35613.74801270017,16,-15.364591167643182,0.8053638509971018,-10.496003941400971,0.8434818315816954,0.008165917987347901,1.0140419202095252,0.002524372343784511
-0.020000000000000004,0.0,True,,1.038947073236674,1.0192875321697377,35436.17141529207,16,-14.577274122550305,0.8817754120282445,-10.73964341419084,0.7974652823601819,0.008208305227529382,1.0193055584792956,0.002671081864986462
-0.020000000000000004,0.009999999999999995,False,,1.0491624268274369,1.0242863012007126,35263.234184715584,16,-13.866122881887327,0.9570079522446342,-10.781759990236,0.7897690813183263,0.008248937643606437,1.0243512830733177,0.0028176737469106862
-0.020000000000000004,0.020000000000000004,False,,1.0592449368139505,1.0291962576758382,35095.00490509295,16,-13.219737657584762,1.030943364650616,-10.61100144914326,0.8214402546818869,0.008287719647719157,1.0291672239119312,0.0029633948670332016
-0.020000000000000004,0.03,False,,1.0691810637277448,1.0340121197199503,34931.55159653199,16,-12.62925624021741,1.1034658028813762,-10.239451717756989,0.8948102592893831,0.00832455559374207,1.0337415036800703,0.0031074945578654293
-0.020000000000000004,0.039999999999999994,False,,1.0789570301561227,1.0387285642342385,34772.941608729736,16,-12.087655228118827,1.1744618907616953,-9.697597544404854,1.0137161654313716,0.008359350115916658,1.0380622798785772,0.0032492291301390243
-0.020000000000000004,0.05,False,,1.0885588542407818,1.0433402389636766,34619.24151158359,16,-11.491758019317174,1.2578642950445154,-9.023701957280169,1.1838752213701556,0.008392008485614303,1.0421177891269464,0.003387866639666136
-0.020000000000000004,0.06000000000000001,False,,1.0979723860867665,1.0478417753109324,34470.51698308063,16,-10.893079333669496,1.3476208572212733,-8.253913152193954,1.4134641938622048,0.008422436984716408,1.0458963935295864,0.0035226918661304327
-0.020000000000000004,0.06999999999999999,False,,1.1071833470196764,1.052227801865963,34326.832694768425,16,-10.346849994946382,1.4350901741615132,-7.4167015799926155,1.7139808627725472,0.008450543293822993,1.049386628883481,0.0036530114651975787
-0.020000000000000004,0.08,False,,1.1161773715978205,1.0564929586125127,34188.25219514252,16,-9.846925786101115,1.5201113487321192,-6.531482545341115,2.1014926336858615,0.008476236893205332,1.0525772544683973,0.003778159251738774
-0.009999999999999995,-0.08,False,,0.9373400248530764,0.9681632222167275,37307.39495426869,16,-10.266390724466042,1.4484454852610693,-5.878280969871566,2.4425756852026623,0.00776336289025571,0.9640527157774006,0.0014039963498623605
-0.009999999999999995,-0.07,False,,0.947791780394713,0.973545982681205,37101.12142002902,16,-10.883907475505234,1.3490446279620367,-6.6096442868376375,2.0640095284603737,0.00781371569892543,0.970305516610142,0.0015212539114210395
-0.009999999999999995,-0.06,False,,0.9582045280205502,0.9788792203436286,36898.98300094398,16,-11.573229523164239,1.2461209987141586,-7.3172050816906,1.753701277669341,0.007862958865731398,0.9764205223575042,0.0016433680013266596
-0.009999999999999995,-0.05,False,,0.9685679178147637,0.9841584820620933,36701.04802201762,16,-12.365038521275899,1.1375480874097255,-7.993828760257935,1.5006978161016613,0.007911008348226733,0.9823872966467067,0.0017696972049140729
-0.009999999999999995,-0.04,False,,0.9788712279949984,0.9893792134439647,36507.3848536869,16,-13.280183543150875,1.02379384318133,-8.62634069152559,1.2973048968795948,0.00795777843208081,0.9881951954908087,0.001899581364731997
